"filename", "language", "Markdown", "JSON", "HTML", "PostCSS", "JavaScript", "PHP", "comment", "blank", "total"
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\README.md", "Markdown", 65, 0, 0, 0, 0, 0, 0, 27, 92
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\database\api\youtube\youtube_key.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\database\server\local_server.js", "JavaScript", 0, 0, 0, 0, 25, 0, 4, 9, 38
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\database\services\gospel\preacher.list.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\database\services\gospel\save_reflection.php", "PHP", 0, 0, 0, 0, 0, 12, 2, 5, 19
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\database\services\gospel\the.gospel.js", "JavaScript", 0, 0, 0, 0, 118, 0, 22, 23, 163
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\dev\global\background.js", "JavaScript", 0, 0, 0, 0, 27, 0, 10, 9, 46
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\dev\global\cookies.js", "JavaScript", 0, 0, 0, 0, 36, 0, 11, 7, 54
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\dev\global\copyright.holder.js", "JavaScript", 0, 0, 0, 0, 8, 0, 3, 3, 14
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\dev\global\light.dark.mode.js", "JavaScript", 0, 0, 0, 0, 25, 0, 3, 4, 32
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\dev\global\net.loader.jsx", "JavaScript", 0, 0, 0, 0, 24, 0, 5, 5, 34
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\dev\global\playback.bin.min.js", "JavaScript", 0, 0, 0, 0, 72, 0, 10, 12, 94
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\dev\global\search.engine.js", "JavaScript", 0, 0, 0, 0, 43, 0, 13, 11, 67
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\dev\global\slogan.tjx.compose.js", "JavaScript", 0, 0, 0, 0, 32, 0, 12, 8, 52
"c:\Users\Vilma E. Agripo\Documents\JednazLonestamp\Projects\Computer.Programs\BlackBlazent\Website\app\dev\global\title.framebar.js", "JavaScript", 0, 0, 0, 0, 13, 0, 2, 2, 17
